Date,Statut,Aeroport_Depart,Code_IATA_Depart,Retard_Depart,Aeroport_Arrivee,Code_IATA_Arrivee,Retard_Arrivee,Compagnie,Numero_Vol,Code_IATA_Vol,Anomalie_ISO,Anomalie_DBSCAN,Anomalie_Final
2025-03-15,2,Seoul (Incheon),ICN,11,Hong Kong International,HKG,0,Atlas Air,8579.0,5Y8579,1,0,1
2025-03-15,2,Beijing Capital International,PEK,14,Seoul (Incheon),ICN,0,Korean Air,854.0,KE854,1,0,1
2025-03-15,2,Dubbo,DBO,4,Sydney Kingsford Smith Airport,SYD,0,Rex Regional Express,6821.0,ZL6821,1,0,1
2025-03-15,2,Nelson,NSN,10,Auckland International,AKL,0,Singapore Airlines,4410.0,SQ4410,1,0,1
2025-03-15,2,Nelson,NSN,10,Auckland International,AKL,0,Air New Zealand,5062.0,NZ5062,1,0,1
2025-03-15,2,Nelson,NSN,10,Wellington International,WLG,0,Air New Zealand,5300.0,NZ5300,1,0,1
2025-03-15,2,Shenzhen,SZX,42,Hangzhou,HGH,15,SF Airlines,7224.0,O37224,-1,0,1
2025-03-15,2,Wellington International,WLG,9,Auckland International,AKL,0,Air New Zealand,402.0,NZ402,1,0,1
2025-03-15,2,Wellington International,WLG,9,Auckland International,AKL,0,Turkish Airlines,8746.0,TK8746,1,0,1
2025-03-15,2,Wellington International,WLG,9,Auckland International,AKL,0,Singapore Airlines,4293.0,SQ4293,1,0,1
2025-03-15,2,Wellington International,WLG,9,Auckland International,AKL,0,Qantas,8534.0,QF8534,1,0,1
2025-03-15,2,Wellington International,WLG,9,Auckland International,AKL,0,Asiana Airlines,6558.0,OZ6558,1,0,1
2025-03-15,2,Wellington International,WLG,9,Auckland International,AKL,0,ANA,7957.0,NH7957,1,0,1
2025-03-15,2,Wellington International,WLG,9,Auckland International,AKL,0,Asiana Airlines,6558.0,OZ6558,1,0,1
2025-03-15,2,Wellington International,WLG,9,Auckland International,AKL,0,ANA,7957.0,NH7957,1,0,1
